Date,IncidenceOfDiabetes,PrevalenceOfDiabetes
2012-09-16,0,0
2012-09-17,0,9
2012-09-18,4,39
2012-09-19,1,26
2012-09-20,2,15
2012-09-21,4,22
2012-09-22,0,1
2012-09-23,0,0
2012-09-24,3,31
2012-09-25,1,19
2012-09-26,1,22
2012-09-27,2,10
2012-09-28,1,15
2012-09-29,0,0
2012-09-30,1,1
2012-10-01,2,29
2012-10-02,2,19
2012-10-03,4,30
2012-10-04,4,14
2012-10-05,2,18
2012-10-06,0,0
2012-10-07,1,1
2012-10-08,3,40
2012-10-09,0,29
2012-10-10,1,28
2012-10-11,1,14
2012-10-12,0,21
2012-10-13,0,4
2012-10-14,0,1
2012-10-15,3,36
2012-10-16,4,22
2012-10-17,2,8
2012-10-18,5,21
2012-10-19,1,11
2012-10-20,0,0
2012-10-21,0,0
2012-10-22,2,17
2012-10-23,2,23
2012-10-24,4,33
2012-10-25,1,14
2012-10-26,1,20
2012-10-27,1,1
2012-10-28,0,0
2012-10-29,6,30
2012-10-30,2,19
2012-10-31,2,15
2012-11-01,3,11
2012-11-02,3,16
2012-11-03,0,0
2012-11-04,0,0
2012-11-05,1,22
2012-11-06,1,35
2012-11-07,0,28
2012-11-08,3,15
2012-11-09,6,29
2012-11-10,0,0
2012-11-11,0,0
2012-11-12,4,28
2012-11-13,1,32
2012-11-14,3,24
2012-11-15,2,20
2012-11-16,3,18
2012-11-17,0,1
2012-11-18,0,2
2012-11-19,3,28
2012-11-20,3,33
2012-11-21,8,34
2012-11-22,4,23
2012-11-23,3,18
2012-11-24,0,0
2012-11-25,0,0
2012-11-26,3,24
2012-11-27,5,24
2012-11-28,2,22
2012-11-29,4,16
2012-11-30,2,12
2012-12-01,0,1
2012-12-02,0,1
2012-12-03,1,32
2012-12-04,2,37
2012-12-05,4,31
2012-12-06,1,19
2012-12-07,1,11
2012-12-08,0,1
2012-12-09,0,0
2012-12-10,5,31
2012-12-11,2,26
2012-12-12,2,28
2012-12-13,3,21
2012-12-14,2,15
2012-12-15,0,0
2012-12-16,1,1
2012-12-17,4,35
2012-12-18,2,34
2012-12-19,5,29
2012-12-20,4,19
2012-12-21,2,18
2012-12-22,0,1
2012-12-23,0,0
2012-12-24,6,13
2012-12-25,0,0
2012-12-26,0,0
2012-12-27,3,18
2012-12-28,0,7
2012-12-29,0,0
2012-12-30,0,1
2012-12-31,1,7
2013-01-01,31,41
2013-01-02,2,9
2013-01-03,4,19
2013-01-04,2,16
2013-01-05,0,0
2013-01-06,0,0
2013-01-07,2,29
2013-01-08,2,23
2013-01-09,4,31
2013-01-10,5,30
2013-01-11,4,20
2013-01-12,0,0
2013-01-13,1,1
2013-01-14,3,23
2013-01-15,2,35
2013-01-16,5,22
2013-01-17,7,23
2013-01-18,3,24
2013-01-19,0,0
2013-01-20,1,1
2013-01-21,3,21
2013-01-22,5,42
2013-01-23,4,42
2013-01-24,4,14
2013-01-25,4,13
2013-01-26,0,0
2013-01-27,0,1
