Date,IncidenceOfCardiovascular,PrevalenceOfCardiovascular
2017-09-05,12,74
2017-09-06,11,53
2017-09-07,14,59
2017-09-08,14,54
2017-09-09,1,1
2017-09-10,1,2
2017-09-11,7,62
2017-09-12,19,72
2017-09-13,13,71
2017-09-14,9,62
2017-09-15,12,61
2017-09-16,0,5
2017-09-17,2,5
2017-09-18,9,71
2017-09-19,8,64
2017-09-20,14,88
2017-09-21,15,69
2017-09-22,14,68
2017-09-23,3,4
2017-09-24,4,9
2017-09-25,6,63
2017-09-26,10,73
2017-09-27,6,50
2017-09-28,16,52
2017-09-29,17,66
2017-09-30,4,7
2017-10-01,4,11
2017-10-02,16,82
2017-10-03,15,88
2017-10-04,11,64
2017-10-05,15,72
2017-10-06,9,56
2017-10-07,3,6
2017-10-08,2,4
2017-10-09,15,102
2017-10-10,17,93
2017-10-11,16,89
2017-10-12,12,71
2017-10-13,10,49
2017-10-14,5,7
2017-10-15,2,3
2017-10-16,14,74
2017-10-17,17,88
2017-10-18,12,74
2017-10-19,9,60
2017-10-20,13,59
2017-10-21,0,3
2017-10-22,3,5
2017-10-23,8,86
2017-10-24,16,68
2017-10-25,8,51
2017-10-26,10,57
2017-10-27,12,68
2017-10-28,4,6
2017-10-29,3,5
2017-10-30,10,78
2017-10-31,12,72
2017-11-01,20,77
2017-11-02,9,73
2017-11-03,14,48
2017-11-04,1,3
2017-11-05,3,6
2017-11-06,15,72
2017-11-07,10,63
2017-11-08,12,67
2017-11-09,11,59
2017-11-10,16,53
2017-11-11,1,5
2017-11-12,3,11
2017-11-13,10,81
2017-11-14,13,104
2017-11-15,17,57
2017-11-16,13,58
2017-11-17,8,53
2017-11-18,1,5
2017-11-19,4,7
2017-11-20,14,75
2017-11-21,19,83
2017-11-22,12,65
2017-11-23,13,76
2017-11-24,8,66
2017-11-25,6,9
2017-11-26,1,3
2017-11-27,8,88
2017-11-28,13,94
2017-11-29,7,74
2017-11-30,14,100
2017-12-01,8,65
2017-12-02,4,8
2017-12-03,0,0
2017-12-04,10,70
2017-12-05,15,72
2017-12-06,9,40
2017-12-07,14,52
2017-12-08,9,40
2017-12-09,2,4
