Date,IncidenceOfAntidepressants,PrevalenceOfAntidepressants
2017-05-26,9,950
2017-05-27,0,14
2017-05-28,0,9
2017-05-29,0,296
2017-05-30,17,1139
2017-05-31,11,971
2017-06-01,21,940
2017-06-02,14,899
2017-06-03,0,16
2017-06-04,0,11
2017-06-05,17,1067
2017-06-06,23,1060
2017-06-07,14,867
2017-06-08,15,913
2017-06-09,13,959
2017-06-10,0,13
2017-06-11,0,6
2017-06-12,16,1088
2017-06-13,12,937
2017-06-14,8,868
2017-06-15,21,887
2017-06-16,17,919
2017-06-17,0,18
2017-06-18,0,5
2017-06-19,13,1011
2017-06-20,13,1070
2017-06-21,13,877
2017-06-22,7,865
2017-06-23,7,834
2017-06-24,1,22
2017-06-25,0,5
2017-06-26,12,1051
2017-06-27,24,1017
2017-06-28,13,927
2017-06-29,17,883
2017-06-30,20,884
2017-07-01,1,18
2017-07-02,0,9
2017-07-03,13,1103
2017-07-04,13,1045
2017-07-05,11,931
2017-07-06,16,885
2017-07-07,11,892
2017-07-08,0,13
2017-07-09,0,5
2017-07-10,16,1112
2017-07-11,25,1016
2017-07-12,16,910
2017-07-13,19,887
2017-07-14,20,862
2017-07-15,1,14
2017-07-16,1,8
2017-07-17,12,1199
2017-07-18,21,1048
2017-07-19,11,958
2017-07-20,12,836
2017-07-21,16,769
2017-07-22,0,18
2017-07-23,0,7
2017-07-24,9,1145
2017-07-25,14,1062
2017-07-26,7,914
2017-07-27,9,809
2017-07-28,11,813
2017-07-29,0,14
2017-07-30,0,7
2017-07-31,18,1182
2017-08-01,12,1045
2017-08-02,13,927
2017-08-03,14,934
2017-08-04,12,821
2017-08-05,0,14
2017-08-06,0,9
2017-08-07,20,1231
2017-08-08,7,1064
2017-08-09,8,889
2017-08-10,15,850
2017-08-11,15,806
2017-08-12,0,16
2017-08-13,0,10
2017-08-14,15,1191
2017-08-15,21,1051
2017-08-16,11,900
2017-08-17,10,896
2017-08-18,7,839
2017-08-19,1,14
2017-08-20,0,9
2017-08-21,12,1243
2017-08-22,11,997
2017-08-23,13,927
2017-08-24,7,958
2017-08-25,20,856
2017-08-26,0,35
2017-08-27,1,12
2017-08-28,0,355
2017-08-29,17,1251
2017-08-30,21,1085
2017-08-31,11,966
2017-09-01,11,818
2017-09-02,0,18
2017-09-03,0,6
2017-09-04,15,1124
2017-09-05,11,1123
2017-09-06,12,987
2017-09-07,18,950
2017-09-08,14,841
2017-09-09,0,15
2017-09-10,0,10
2017-09-11,13,1096
2017-09-12,13,1089
2017-09-13,12,936
2017-09-14,13,909
2017-09-15,6,826
2017-09-16,1,13
2017-09-17,0,10
2017-09-18,14,1070
2017-09-19,6,998
2017-09-20,16,1030
